,MSSubClass,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
33,60,13143,1,0,3,4,0,15,2,2,0,4,8,5,1993,1993,1,0,2,4,2,0,0,1,1251,1098,0,2349,2,1,4,1,9,1,2,32,130,0,0,0,0,0,6,2010,4,262897.5
34,60,11134,1,3,3,4,0,15,2,2,0,4,8,5,1992,1993,1,0,2,4,2,0,0,1,1402,823,0,2225,2,1,4,1,7,1,2,198,30,0,0,0,0,0,6,2010,4,252067.6
35,120,4835,1,0,3,1,0,21,2,2,4,2,7,5,2004,2005,1,0,2,4,2,0,0,1,1488,0,0,1488,2,0,2,1,6,1,2,168,50,0,0,0,0,0,3,2010,4,216825.7
36,160,3515,1,3,3,4,0,21,2,2,4,4,7,5,2004,2004,1,0,2,4,2,0,0,1,840,840,0,1680,2,1,2,1,3,0,2,0,111,0,0,0,0,0,1,2010,4,175805.0
37,160,3215,1,3,3,4,0,21,2,2,4,4,7,5,2004,2004,1,0,2,4,2,0,0,1,600,600,0,1200,2,1,2,1,4,0,2,0,172,0,0,0,0,0,4,2010,4,157326.3
38,160,2544,1,3,3,4,0,21,2,2,3,4,7,5,2004,2005,1,0,2,4,2,0,0,1,600,600,0,1200,2,1,2,1,4,0,2,0,172,0,0,0,0,0,2,2010,4,159083.2
39,160,2544,1,3,3,4,0,21,2,2,3,4,6,5,2005,2005,1,0,2,4,2,0,0,1,600,636,0,1236,2,1,2,1,4,0,2,0,166,0,0,0,0,0,5,2010,4,146175.7
40,160,2980,1,3,3,0,0,21,2,2,4,4,6,5,2000,2000,1,0,2,4,2,0,0,1,756,756,0,1512,2,1,2,1,5,0,2,0,32,0,0,0,0,0,5,2010,4,163053.4
41,160,2403,1,0,3,2,0,21,2,2,4,4,7,5,2003,2003,1,0,2,4,2,0,0,1,530,550,0,1080,2,1,2,1,4,0,2,0,50,0,0,0,0,0,6,2010,4,156243.0
42,20,12853,1,0,3,4,0,21,2,2,0,2,8,5,2010,2010,1,0,2,4,2,0,0,1,1418,0,0,1418,1,1,1,1,6,1,2,160,192,0,224,0,0,0,4,2010,5,272723.0
43,60,7379,1,0,3,4,0,21,2,2,0,4,8,5,2000,2000,1,0,2,4,2,0,0,1,975,873,0,1848,2,1,3,1,7,1,2,280,184,0,0,0,0,0,4,2010,4,248327.4
44,20,8000,1,3,3,4,0,21,2,2,0,2,7,5,2002,2002,1,0,2,4,2,0,0,1,1492,0,0,1492,2,0,3,1,6,1,2,277,137,0,0,0,0,0,4,2010,4,225575.2
45,20,10456,1,0,3,4,0,14,2,2,0,2,6,6,1967,1967,3,0,3,4,1,0,2,1,1829,0,0,1829,2,0,4,1,8,0,2,0,76,0,0,0,0,0,5,2010,4,187527.5
46,60,10791,1,3,3,4,0,14,2,2,0,4,6,5,1993,1993,1,0,3,4,2,0,0,1,1280,1215,0,2495,2,1,4,1,9,1,2,224,32,0,0,0,0,0,3,2010,4,224871.7
47,50,18837,1,0,3,4,0,14,2,2,0,0,6,5,1978,1978,1,0,3,4,2,0,4,1,1287,604,0,1891,3,0,3,1,7,1,2,0,69,0,0,0,0,0,4,2010,4,190787.2
48,60,9600,1,3,3,4,0,14,2,2,0,4,6,6,1971,1971,1,0,3,4,1,0,4,1,930,715,0,1645,1,2,4,1,7,0,2,0,78,0,0,0,0,0,6,2010,4,148186.9
49,20,9600,1,3,3,4,0,12,2,2,0,2,5,5,1966,1966,3,0,3,4,1,0,4,1,1232,0,0,1232,1,1,3,1,6,0,2,0,224,0,0,0,0,0,4,2010,4,119374.9
50,20,9900,1,3,3,0,0,12,2,2,0,2,5,5,1966,1966,3,0,3,4,2,0,2,1,1209,0,0,1209,1,0,3,1,6,0,2,0,0,120,0,0,0,0,4,2010,4,129942.0
51,20,9680,1,3,3,4,0,12,2,2,0,2,5,6,1967,1967,1,0,3,4,1,0,0,1,1510,0,0,1510,2,0,3,1,6,0,2,0,40,0,0,204,0,0,4,2010,4,157643.1
52,80,10600,1,0,3,4,0,12,2,2,0,6,6,5,1964,1964,1,0,3,4,1,0,4,1,1131,644,0,1775,2,0,3,1,8,0,2,0,172,0,0,0,0,0,5,2010,3,153285.3
53,90,13260,1,0,3,4,0,12,2,2,2,2,5,6,1962,2001,3,0,3,4,1,0,4,1,1728,0,0,1728,2,0,6,2,10,0,2,0,0,0,0,0,0,0,1,2010,0,123845.1
54,50,9724,1,3,3,4,0,12,2,2,0,0,5,7,1952,2002,1,0,2,4,1,0,2,1,1929,532,0,2461,2,0,3,1,7,2,2,0,0,0,0,0,0,0,3,2010,4,219810.0
55,50,17360,1,3,3,0,0,12,0,2,0,0,6,6,1949,1950,1,0,3,2,1,0,4,1,1019,537,0,1556,2,0,3,1,6,1,2,0,0,150,0,0,0,0,1,2010,4,158762.8
56,85,11380,1,0,3,4,0,12,2,2,0,5,6,8,1966,2008,1,0,3,4,1,0,2,1,1128,0,0,1128,1,0,2,1,5,1,2,238,0,0,0,0,0,1500,1,2010,4,158300.1
57,90,8267,1,3,3,0,0,12,1,2,2,2,5,5,1958,1958,1,0,3,4,1,0,4,1,1604,0,0,1604,2,0,4,2,8,0,2,42,0,0,0,0,0,0,3,2010,4,118546.0
58,20,8197,1,3,3,4,0,12,2,2,0,2,7,5,2003,2009,1,0,2,4,2,0,0,1,1480,0,0,1480,2,0,3,1,7,0,2,252,73,0,0,0,0,300,2,2010,4,220698.8
59,20,8050,1,0,3,4,0,12,2,2,0,2,5,5,1959,1959,3,0,3,4,1,0,4,1,1143,0,0,1143,1,0,3,1,6,0,2,0,0,0,0,0,0,0,5,2010,4,117287.9
60,20,10725,1,0,3,4,0,12,2,2,0,2,5,5,1959,1959,3,0,3,4,1,0,1,1,1206,0,0,1206,1,0,3,1,6,0,2,0,21,0,0,0,0,0,5,2010,4,122927.3
61,20,10032,1,3,3,4,0,12,2,2,0,2,6,5,1959,1959,1,0,3,4,1,0,0,1,1580,0,0,1580,1,1,3,1,6,2,2,0,28,0,0,160,0,0,6,2010,4,172611.5
62,50,8382,1,3,3,4,0,12,2,2,0,0,4,5,1956,1956,1,0,3,4,1,0,4,1,832,505,0,1337,1,0,3,1,5,0,2,0,0,0,0,0,0,0,2,2010,4,89585.6
63,20,10950,1,3,3,4,0,12,2,2,0,2,5,7,1952,1952,1,0,3,4,1,0,4,1,1064,0,0,1064,1,0,2,1,4,0,2,0,0,0,0,0,0,0,5,2010,4,111032.1
64,20,10895,1,3,3,0,0,12,2,2,0,2,5,6,1955,1955,1,0,3,2,1,0,4,1,972,0,0,972,1,0,3,1,5,0,2,0,0,205,0,0,0,0,6,2010,4,107822.1
65,190,13587,1,3,3,4,0,12,2,2,1,2,5,5,1958,1958,1,0,3,4,1,0,4,1,988,0,0,988,1,0,2,1,5,0,2,0,0,0,0,0,0,0,4,2010,0,75863.9
66,30,7898,1,3,3,0,0,12,2,2,0,2,4,7,1920,1994,1,0,3,4,0,0,2,1,985,0,0,985,1,0,2,1,4,0,0,0,0,0,0,0,0,0,4,2010,4,71626.6
67,50,8064,1,3,3,4,0,12,0,2,0,0,6,8,1948,2004,1,0,3,4,1,0,4,1,816,408,0,1224,1,0,3,1,5,0,2,414,0,0,0,0,0,0,5,2010,4,150158.8
68,20,7635,1,0,3,0,0,12,2,2,0,2,5,6,1960,1960,1,0,3,4,1,0,0,1,1175,0,0,1175,1,1,3,1,6,0,2,0,0,0,0,0,0,0,6,2010,4,122802.8
69,20,9760,1,3,3,4,1,12,2,2,0,2,6,7,1963,1984,3,0,3,4,1,0,4,1,1395,0,0,1395,1,0,2,1,7,1,2,657,0,113,0,240,0,0,5,2010,4,234901.9
70,50,4800,1,3,3,0,0,17,2,2,0,0,4,5,1900,1954,3,0,3,4,2,0,4,1,1157,687,0,1844,1,0,3,1,9,2,2,84,0,0,0,0,0,0,1,2010,0,113373.5
71,30,4485,1,3,3,4,0,17,0,2,0,2,5,7,1920,1950,1,0,3,4,2,0,4,1,936,0,0,936,1,0,2,1,5,1,1,51,0,135,0,0,0,0,5,2010,4,108377.4
72,20,5805,1,3,0,4,1,17,2,2,0,2,5,7,1957,1957,3,0,3,4,1,0,2,1,1347,0,0,1347,1,0,3,1,6,0,2,0,0,0,0,0,0,0,6,2010,4,141204.0
73,45,6900,1,3,3,0,0,17,2,2,0,0,6,7,1938,2000,1,0,3,4,2,0,2,1,827,424,0,1251,1,0,3,1,6,0,0,0,0,0,0,0,0,0,1,2010,4,131889.6
74,50,11851,1,3,3,4,0,17,0,2,0,0,5,7,1948,2009,1,0,3,2,0,0,0,1,1027,606,0,1633,1,0,3,1,7,1,2,0,100,126,0,0,0,0,6,2010,4,159384.4
75,50,8239,1,3,3,4,0,17,0,2,0,0,5,6,1920,1962,1,0,3,4,0,0,4,1,1060,185,0,1245,1,0,3,1,6,0,2,0,0,334,0,0,0,0,3,2010,4,115850.8
76,30,9656,1,3,3,4,0,17,2,2,0,2,2,2,1923,1970,1,0,3,1,0,0,4,0,832,0,0,832,1,0,2,1,5,1,0,0,0,0,0,0,0,0,6,2010,0,12485.5
77,70,9600,1,3,3,0,0,17,2,2,0,4,8,9,1900,2003,1,0,2,2,0,1,4,0,930,636,0,1566,2,0,3,1,7,0,2,54,228,246,0,0,0,0,4,2010,0,182045.4
78,70,9000,1,3,3,4,0,17,2,2,0,4,8,9,1890,2002,1,0,2,2,4,0,0,1,1157,1111,0,2268,3,0,3,1,7,0,0,0,108,0,0,0,0,0,4,2010,4,215821.8
79,190,9045,1,3,3,4,0,17,2,2,1,4,5,3,1910,1950,1,0,3,1,0,2,1,0,1128,1128,0,2256,2,0,4,2,12,0,0,0,18,18,0,0,0,0,6,2010,0,106530.7
80,70,10560,1,3,3,4,0,17,2,2,0,4,6,7,1922,1994,1,0,3,4,1,0,0,1,868,602,0,1470,1,1,2,1,6,0,2,0,0,0,0,0,0,0,6,2010,4,136222.9
81,50,5830,1,3,3,0,0,3,1,1,0,0,5,6,1950,1997,1,0,3,2,1,0,0,1,1030,582,0,1612,1,1,3,1,7,0,2,0,0,0,0,0,0,0,3,2010,4,144207.0
82,75,7793,1,0,0,0,0,3,2,2,0,3,7,7,1922,2005,1,0,3,4,0,0,4,0,1160,908,0,2068,1,1,3,1,8,1,2,0,0,60,0,0,0,0,5,2010,4,177301.6
83,30,5000,1,3,3,4,0,3,1,2,0,2,4,7,1925,1950,1,0,3,4,0,0,4,0,765,0,0,765,1,0,2,1,4,0,1,135,0,41,0,0,0,0,4,2010,4,66875.0
84,50,6000,1,3,3,4,0,3,2,2,0,0,6,7,1939,1950,1,0,3,4,0,0,4,1,608,524,0,1132,1,0,2,1,5,0,2,0,0,128,0,0,0,0,4,2010,0,101710.7
85,50,6000,1,3,3,4,0,3,2,2,0,0,6,6,1940,1950,1,0,3,2,1,0,0,1,848,348,0,1196,1,1,3,1,6,2,2,0,0,0,0,0,0,0,3,2010,4,121624.8
86,50,6360,1,3,3,0,0,3,1,2,0,0,5,6,1942,1950,1,0,3,4,1,0,4,1,955,498,0,1453,1,1,3,1,7,2,2,0,0,35,0,148,0,0,3,2010,4,136232.7
87,50,6000,1,3,3,4,0,3,2,2,0,0,6,7,1948,1950,1,0,3,4,1,0,4,1,780,636,0,1416,1,1,3,1,6,0,1,221,0,48,0,0,0,0,3,2010,4,137977.5
88,50,6240,1,3,3,4,0,3,2,2,0,0,5,7,1936,1980,1,0,3,4,1,0,2,1,548,492,0,1040,1,0,2,1,5,0,1,306,0,32,0,0,0,0,5,2010,4,104757.4
89,50,6240,1,3,3,4,0,3,2,2,0,0,5,5,1930,1950,1,0,3,4,0,0,4,1,928,608,0,1536,2,0,4,1,7,1,2,0,10,0,0,0,0,0,3,2010,4,98789.7
90,30,6120,1,3,3,4,0,17,0,2,0,2,6,5,1923,1950,1,0,3,4,0,0,4,1,1068,0,0,1068,1,0,2,1,5,1,2,0,0,128,0,0,0,0,3,2010,4,116410.5
91,50,8094,1,3,3,4,0,17,2,2,0,0,4,5,1915,1950,1,0,3,1,1,0,0,1,888,1074,0,1962,1,1,4,1,9,1,2,160,0,364,0,0,0,0,6,2010,4,139372.7
92,70,12900,1,3,3,4,0,17,2,2,0,4,6,8,1912,2009,1,0,2,2,2,0,0,1,780,780,0,1560,1,1,3,1,7,0,0,344,0,0,0,168,0,0,5,2010,4,181096.1
93,70,3068,1,3,3,4,0,17,2,2,0,4,6,8,1920,1993,1,0,3,2,0,0,0,1,662,662,0,1324,1,0,3,1,6,0,2,0,0,112,0,0,0,0,2,2010,4,122316.5
94,20,15263,1,0,3,4,0,4,1,2,0,2,5,5,1959,1959,1,0,3,4,1,0,2,1,1675,0,0,1675,2,0,3,1,8,2,2,0,132,0,0,0,0,0,5,2010,4,161549.1
95,50,10632,1,0,3,4,0,4,2,2,0,0,5,3,1917,1950,1,0,3,4,0,0,2,0,725,499,0,1224,1,1,3,1,6,0,0,0,0,248,0,0,0,0,1,2010,4,85283.3
96,190,9900,1,3,3,4,0,18,2,2,1,0,5,4,1915,1950,1,0,1,1,0,0,4,0,1212,180,0,1392,1,0,3,1,6,0,0,0,0,168,0,0,0,0,2,2010,4,128086.9
97,50,6001,1,0,0,4,1,18,2,2,0,0,6,5,1940,1950,1,0,3,4,1,0,0,0,600,319,0,919,1,0,3,1,5,0,2,0,0,45,0,0,0,0,3,2010,4,109474.1
98,70,6449,1,0,3,4,0,18,2,2,0,4,4,1,1907,1950,2,0,3,4,1,1,4,0,942,942,0,1884,1,1,4,1,7,0,0,0,0,239,0,0,0,0,3,2010,0,69746.2
99,190,6048,1,3,3,0,0,18,0,2,1,0,5,7,1910,1950,1,0,3,2,0,0,2,1,936,744,0,1680,2,0,2,2,7,1,1,56,144,0,0,0,0,0,6,2010,4,110223.7
100,90,10773,1,3,3,4,0,19,2,2,2,2,4,3,1967,1967,1,1,1,1,1,0,4,0,1832,0,0,1832,2,0,4,2,8,0,2,0,58,0,0,0,0,0,5,2010,4,160963.2
101,20,7800,1,3,3,4,0,19,2,2,0,2,5,7,1966,2008,3,0,3,4,1,0,0,1,892,0,0,892,1,0,3,1,5,0,2,0,0,0,0,0,0,0,6,2010,4,119335.7
102,20,7832,1,3,3,4,0,19,2,2,0,2,5,5,1968,1968,3,0,3,4,1,0,0,1,864,0,0,864,1,0,2,1,4,0,2,226,0,0,0,0,0,0,5,2010,4,115517.4
103,90,7424,1,0,3,4,0,19,2,2,2,5,5,5,1978,1978,1,0,3,4,1,0,4,1,1373,0,0,1373,1,0,3,1,5,2,2,0,0,0,0,0,0,0,5,2010,4,131261.9
104,60,11227,1,3,3,4,0,19,2,2,0,4,5,5,1968,1968,1,0,3,2,1,0,0,1,720,720,0,1440,1,1,4,1,7,2,2,192,38,0,0,0,0,0,3,2010,4,136228.6
105,20,20062,1,0,2,4,1,4,2,2,0,2,7,7,1977,2001,3,0,2,2,1,0,2,1,1483,0,0,1483,1,1,1,1,4,2,2,496,0,0,0,0,0,0,4,2010,4,250071.3
106,30,9259,1,3,3,0,0,19,1,2,0,2,4,4,1927,1950,1,0,3,4,0,0,4,0,756,0,0,756,1,0,2,1,4,0,0,80,0,0,0,0,0,0,6,2010,4,59523.9
107,60,17082,1,0,2,1,1,4,2,2,0,4,6,5,1978,1992,1,0,3,4,2,0,0,1,1117,864,0,1981,2,1,4,1,8,1,2,336,104,0,0,0,0,0,5,2010,4,196681.7
108,50,18600,1,3,3,4,0,7,2,2,0,0,3,4,1938,1990,1,0,3,4,1,0,4,1,1052,558,0,1610,2,0,4,1,8,1,2,0,0,60,0,0,0,450,6,2010,4,92470.2
109,20,11479,1,3,3,4,0,7,2,2,0,2,6,7,1950,1987,1,0,3,4,1,0,0,1,1074,0,0,1074,1,0,3,1,6,1,2,0,52,52,0,0,0,0,6,2010,4,135111.2
110,50,9350,1,3,0,4,0,7,2,2,0,0,4,6,1947,1979,1,0,3,4,1,0,0,1,1169,0,362,1531,1,0,3,1,8,1,2,0,0,0,0,0,0,0,6,2010,4,105807.7
111,20,9525,1,3,3,4,0,7,2,2,0,2,5,7,1954,1998,1,0,3,4,1,0,4,1,1172,0,0,1172,1,0,3,1,5,0,2,240,0,0,0,0,0,0,6,2010,4,122675.2
112,20,17485,1,1,3,4,0,7,2,2,0,2,7,5,2009,2010,1,0,2,4,2,0,0,1,1508,0,0,1508,1,0,1,1,5,2,2,0,0,0,0,0,0,0,1,2010,5,238414.5
113,20,11200,1,0,3,1,0,7,2,2,0,2,5,3,1964,1964,1,0,3,1,1,0,0,1,1298,0,0,1298,2,0,3,1,5,0,0,0,144,0,0,0,0,0,6,2010,4,104664.4
114,20,11980,1,3,2,4,1,20,2,2,0,2,7,5,1987,1987,1,0,2,4,1,0,0,1,1433,0,0,1433,1,1,1,1,4,2,2,0,278,0,0,266,0,0,6,2010,4,236055.1
115,60,12361,1,0,3,1,0,20,2,2,0,4,6,7,1993,1993,1,0,2,2,2,0,0,1,964,838,0,1802,2,1,3,1,8,1,2,450,92,0,0,0,0,0,5,2010,4,238753.5
116,20,7360,1,3,3,4,0,5,2,2,0,2,7,5,2010,2010,1,0,2,4,2,0,0,1,1222,0,0,1222,2,0,2,1,6,0,2,0,54,0,0,0,0,0,3,2010,4,199269.7
117,50,14235,1,0,3,4,0,20,2,2,0,0,6,8,1900,1993,1,0,3,4,2,0,4,1,831,614,0,1445,2,0,3,1,6,0,0,0,59,0,0,0,0,0,3,2010,4,131574.3
118,85,11105,1,3,3,0,0,5,2,2,0,5,5,5,1996,1996,1,0,3,2,2,0,2,1,965,0,0,965,1,0,2,1,4,0,2,71,0,0,0,0,0,0,7,2010,4,112272.5
119,60,9337,1,0,3,4,0,5,2,2,0,4,7,5,1997,1998,1,0,3,4,2,0,0,1,892,800,0,1692,2,1,3,1,8,1,2,0,39,0,0,0,0,0,4,2010,4,194776.0
120,20,15240,1,0,3,2,0,5,2,2,0,2,5,8,1977,2004,1,0,2,2,1,0,0,1,1026,0,0,1026,1,1,3,1,5,0,2,316,85,0,0,0,0,0,6,2010,4,158128.5
121,20,7480,1,3,3,4,0,5,2,2,0,2,5,6,1972,1972,1,0,3,4,1,0,4,1,876,0,0,876,1,0,3,1,5,0,2,0,0,0,0,0,0,0,6,2010,4,97698.0
122,20,10389,1,3,3,4,0,5,2,2,0,2,8,5,2003,2003,3,0,2,4,2,0,0,1,1978,0,0,1978,2,1,3,1,8,1,2,188,25,0,0,0,0,0,5,2010,4,274170.6
123,60,9375,1,3,3,4,0,5,2,2,0,4,7,5,1997,1997,1,0,2,4,2,0,0,1,1044,1054,0,2098,2,1,4,1,9,1,2,331,38,0,0,0,0,0,4,2010,4,236794.9
124,120,4435,1,3,3,4,0,5,2,2,4,2,6,5,2003,2003,1,0,2,4,2,0,0,1,848,0,0,848,1,0,1,1,4,0,2,140,0,0,0,0,0,0,4,2010,4,142233.5
125,30,8777,1,3,3,4,1,7,1,2,0,2,3,6,1945,2007,1,0,3,2,1,0,4,0,640,0,0,640,1,0,2,1,5,0,0,0,0,0,0,0,0,0,4,2010,4,70387.9
126,20,8842,1,3,3,0,0,7,2,2,0,2,5,6,1954,1954,1,0,3,2,1,0,0,1,992,0,0,992,1,0,3,1,6,0,2,60,0,56,0,0,0,0,1,2010,0,93396.0
127,20,10044,1,0,2,1,0,7,2,2,0,2,5,6,1968,1968,1,0,3,4,1,0,4,1,1196,0,0,1196,1,0,3,1,6,0,2,257,0,168,0,0,0,0,6,2010,4,137236.5
128,50,11792,1,3,3,4,0,7,2,2,0,0,4,5,1948,1950,1,0,3,4,1,0,0,0,792,328,0,1120,1,0,2,1,5,0,1,0,0,0,0,160,0,0,6,2010,0,88890.3
129,80,6305,1,3,3,4,0,7,2,2,0,6,6,6,1975,1975,1,0,3,4,1,0,4,1,1096,0,0,1096,1,0,3,1,5,1,2,0,0,0,0,0,0,0,6,2010,4,122698.1
